Summary_clean,Sentiment
good product beautiful sound good packing cheap good quality products,positive
shown picture soft cute baby dress really liked,positive
great deal niece cloud nine quality also superb,positive
superb productthis second washing machine marqbut installation person dont know anything actually jeevas person come installation send another person installation calling asking every option main personhe came take selfie washing machine send jeevas personhe asking show otp show otp proper installation flipkart please take care matter,positive
dam masti like prodocts,positive
product good bluetooth connectivity little hectic strap upto mark although budgeted item faced many issues app connectivity,positive
solid,positive
good product got delivered time,positive
happy buy product,positive
worth price,positive
clamp good monitor display broken loss item dont bye,negative
good qualities,positive
product poor quality within minutes light becomes dim,negative
ok nice,positive
nyc productgud delivery boy thanks flipkart,positive
cant stitch like product,negative
bad,negative
amazing oven,positive
nice long,positive
like,positive
nice cotton,positive
using neptune vx dishwasher last months user friendly machine gives scratch less shining utensils usageit also gives hygiene wash complete removal bacteria anymy wife easily operate taking couple demos suggested go machine,positive
overall okay,positive
received product time installation done engineer day product quality good,positive
rubber quality good dont buy,negative
build quality average grinding performance averageaata kneading average grating slicing goodoverall worth money performance build quality could better,positive
received results come month,neutral
good placed position move,positive
good product delivery boy good tell functions microwave like flipkart,positive
horrible service,negative
thank much flipkart,positive
nice product,positive
worest working product st two much noice thats im return product nd one working,negative
perfect fitting quality,positive
cool lits well inside room clicked picture afternoon still lits wellyou use photography well bought mtr yes long enough looks small tied thats plus point months using worth price comparison normal led lights use diwali,positive
sound quality products osmbass greati love product listen bhajan daily morning,positive
awesomemind blowing experience super performance,positive
better expected sd card also card reader well,neutral
ok,positive
good product fast installation,positive
excellent product,positive
good product packaging good,neutral
sleek feel premium quality ofcourse offer great copying speed got reasonable price,positive
super product tq flipkart,positive
nice pri,positive
fine,positive
good product like,positive
nice awesome fitting good,positive
product good keeps tea warm atleast hours leakage better products used far,positive
got headset days late writing review month totally worth wait superb bass amazing battery life play pubg battery lasts fr days make enemy footstep directions different sound tho says box hrs gt battery best budget headset ever,positive
nice good,positive
bad quality,negative
nice product cello,positive
love,positive
good warking value money,positive
okgood,positive
verry bad product,negative
small size,neutral
nice reasonable product takes days getting used functionting,positive
nice qulity sum part damage,negative
value money product want stainless steel strap watch best option budget feel like premium go,positive
ok,neutral
good product kitchen smoke free working well motion sensor awesome,positive
good bat rate,positive
quality low,negative
product average,neutral
ltr bottle days usebottle hole work,neutral
good reasonable price,positive
value moneygo blindly,positive
super performance,positive
bad quellity colour faled,negative
awwwwwwwwo nice product looks feels premium value money,positive
amazing go,positive
almost ok price product commensurate withmarket price,negative
super product tanks flipkart,positive
super,positive
excellent product must purchase,positive
gud product,positive
low quality products,negative
really comfortable,positive
good product price range look premium handy use also picture quality also rich,positive
small size wise overall ok,positive
using product approximately two years also purchased extended warranty flipkart microwave stopped working suddenly raised incident get claim since warranty period point noted extended warranty provided samsung provided jeeves third party nightmare getting claim one jeeves customer care pick call respond email,positive
product good compared computer tables range flipkart delivered scheduled demo time son likes,positive
second google mini speaker nest mini little better sound quality compared first version google mini speaker however first version mini speaker bit louder also first version google mini speaker powered micro usb adaptor use power bank make portable micro usb replaced nest mini round pin ensure people dont use mini speaker portable speaker rather buy one roo,positive
excellent product value money,positive
awesome product shown pictureworth buying,positive
satisfiedbad smell loaded dustextremely badno hanger clips,negative
amazing product pricemild sound quality bass,positive
good bag,negative
material looks durable fine finishingwhen pushedpulled tends fall easily rigid,positive
still waiting installation technician visit location behaviour time installation happen time service god know,negative
good quality convenient use,positive
amazing quality material bag wow price much satisfied chain quality also good bag spacious,positive
good quality products,positive
really satisfied product,positive
best market loved definitely go,positive
product good,positive
super,positive
good product,positive
good quality price also thanks flipkart offer,positive
times showing internet,negative
nice super,positive
good quality product value money,positive
good one value money average product,positive
good products,positive
best class laptop,positive
super cleaning,positive
working described,positive
good product liked much looks great feels good best value money thank flipkart,positive
awesome baby loved,positive
goood,positive
comfortable hai feel like good,positive
much good,negative
nice productit soft comfortable fit price also reasonable buy people hope product company maintain quality provide various colors future design overall satisfied product,positive
poor quality seeds,negative
good qwality,positive
product quality smooth,positive
wonderful big mean would carry bag good home night enjoy music hard ear per sound quality nd battery backup fantastic,positive
think play tennis ball,neutral
nice quality good clothes quality,positive
nice thanks flipcart,positive
bad product,negative
quality cheap worth price,negative
damage piece,negative
according price bag good,positive
nice flipkart thanks,positive
nice perfume,positive
nice cycle,positive
ok quality takuvaga undi,positive
posting comment purchase months satisfied got first flower much adorable completely satisfies growing small water pot,positive
perfect,positive
good quality convince,positive
colors cute gift neither small big perfect size size feel,positive
good,positive
super dil khush,positive
good,positive
got delivered day good service product received intact service partner also good,positive
soundbar overall good distortion faced volume design looks good maybe best price range,positive
product good quality also good thank flip cart good product,positive
great product,positive
nyc,positive
worst product ever seen life,negative
headphones sound quality osam bettare backup beutiyfull nice headphone,positive
awesome productvalue money compatible size perfect wet grinding,positive
ordered product days back got delivered oct around pm evening came late office could test day however box packaging got bad feeling beginning today th tried test giving sign good condition packaging sealed transparent cello tape seemed opened atleast times alreadyit easy anyone replace item inside th,positive
nice price,positive
good lightso smallbut light brightness,positive
excellent product today received fitting perfectly quality wise also good offer price,positive
chimney working good installation done late professional,positive
nyc product use full burner gas installation process easily done thank,positive
briqre nutri blender much amazing,positive
really good,positive
superb good,positive
start button working properly,neutral
love product well good price,positive
nice,positive
delivery boy natures soo good nd prodcut tooo,positive
range money item good one issue support holder weak,positive
nice one worth price,positive
good,positive
connected bluetooth also usb totally waste money,negative
beautiful setniccc finishingmust buy,positive
good lite use,positive
cant use product fully transparent,negative
awesome palazzo embroidery good expected cloth soft rayon feels comfortable wearing,positive
worth,positive
good quality great price,positive
good product cost,positive
performance product good bit difficult clean manufacturer think itdelivered promised date thanks flipkart,positive
good product,positive
nice worth buying,positive
issues two weeks experience,negative
nice good buy,positive
bang buckbought mom going thro lot tab options samsung tab plus seriously budget tab surprised minute opened started using itfrankly display great typical budget tab one place tab exemplary speaker audio quality unbeleivable price range frankly honestly blows samsung plus water bought seriously,positive
beautyful,positive
within days usage stress activity count stopped dont recommend,negative
gud one home useliked video youtube channel named keshu saini dat describes machine demo perfectlyit helped lotand bought product bank discounts using flipkart coins update working fine till date thing need know machine start especially threading bobbin placemt etc get used den stitiching easy,positive
waste money,negative
batter quality design volume bass,positive
per price ok high sound lover ok,positive
nice quality,positive
good quality,negative
cheap product smell like,positive
thinand used floor,neutral
dont buy hurt hands installation cheap product,negative
excellent product ankle pain much better product,positive
saandaar,positive
must buy router good,positive
nice qualityloved,positive
wow good product,positive
nice,positive
super nice,positive
beautiful happy,positive
good product time delivery,positive
tv got installed rep flipkart may awesome decision purchase flipkart mi tv best worthy customer oriented market friendly enjoy technology mi thank flipkart thank xiaomi,positive
damage broken big plate bowl,negative
good dslr beginners,positive
loved,positive
good study bad painfull longer time study crossing legs,negative
good product,positive
